,id,año,early_access
0,761140,2018,False
1,643980,2018,False
2,670290,2017,False
3,767400,2017,False
5,772540,2018,False
6,774276,2018,False
7,774277,2018,False
8,774278,2018,False
9,768800,2018,False
12,770380,2018,False
13,768880,2018,False
14,765320,2018,False
15,773650,2018,False
16,774271,2018,False
17,773690,2018,False
18,774279,2018,False
21,768060,2018,False
23,775880,2017,False
24,775881,2017,False
25,653960,2018,False
26,777910,2018,False
27,282010,1997,False
28,70,1998,False
29,752360,2016,False
31,520680,2018,False
32,690410,2018,False
33,766850,2018,False
34,413120,2018,False
35,773120,2017,False
37,754360,2018,False
38,716110,2018,False
39,1640,2006,False
40,1630,2006,False
41,2400,2006,False
46,759920,2017,True
47,659780,2018,False
48,603280,2017,False
49,753110,2017,True
50,753100,2017,False
52,764280,2017,False
54,758550,2017,False
55,3800,2005,False
56,1520,2006,False
57,2420,2006,False
58,4000,2006,False
59,4230,2006,False
60,4900,2006,False
61,2520,2006,False
62,6200,2003,False
63,6210,2006,False
64,6300,2006,False
65,2990,2006,False
66,6220,2005,False
67,6510,2007,False
68,3980,2006,False
69,1700,2002,False
70,6310,2000,False
71,3990,2006,False
72,7610,2003,False
73,7600,2006,False
75,7620,1998,False
76,2540,2007,False
77,7650,1995,False
78,8000,2007,False
79,6550,2006,False
80,8200,2006,False
81,2290,1996,False
82,2570,2007,False
83,8210,2006,False
84,2280,1995,False
85,9160,1995,False
86,2300,1994,False
87,2270,1994,False
88,9010,2001,False
89,9040,1997,False
90,9000,1993,False
91,3810,2003,False
92,9030,2007,False
93,2310,2007,False
94,3230,2007,False
95,9310,2006,False
96,7670,2007,False
97,4570,2006,False
98,4580,2006,False
99,4760,2004,False
100,4770,2006,False
101,50970,2007,False
102,12170,1998,False
103,12180,1999,False
104,12130,2004,False
105,12160,2003,False
106,12150,2003,False
107,7000,2006,False
108,12140,2001,False
109,17480,2008,False
110,12500,2007,False
111,12310,2007,False
112,12510,2007,False
113,12530,2007,False
114,12520,2007,False
115,8100,2008,False
116,2780,2007,False
117,9730,2006,False
118,9710,2006,False
119,9800,2007,False
120,9760,2006,False
121,2700,2006,False
122,2710,2005,False
123,13200,2003,False
124,13250,1998,False
125,13000,2008,False
126,13560,2003,False
127,13520,2004,False
128,13240,2000,False
129,13540,2006,False
130,15210,2005,False
131,16180,2008,False
132,3520,2008,False
133,15970,2008,False
134,15950,2008,False
135,15960,2008,False
136,15900,2008,False
137,15910,2005,False
138,15930,2007,False
139,15160,2007,False
140,15920,2005,False
141,15080,2007,False
142,15200,2007,False
143,15320,2006,False
144,15240,2008,False
145,8310,2005,False
146,12600,2005,False
147,8320,2006,False
148,12590,2008,False
149,12580,2008,False
150,12560,2007,False
151,12570,2008,False
152,12540,2007,False
153,11050,2008,False
154,10520,2008,False
155,11040,2008,False
156,19500,2008,False
157,11260,2007,False
158,19200,2008,False
159,12360,2008,False
160,15710,1998,False
161,15700,1997,False
162,8660,2008,False
163,7770,2001,False
164,7660,1997,False
165,7760,1993,False
166,20510,2008,False
167,17330,2008,False
168,17300,2007,False
169,7730,1998,False
170,20900,2008,False
171,1530,2008,False
172,8690,2008,False
173,17120,2008,False
174,16810,2008,False
175,19830,2003,False
176,21000,2008,False
177,4460,2008,False
178,17140,2008,False
179,15390,2008,False
180,21300,2008,False
181,3050,2006,False
182,15380,2006,False
183,19800,2005,False
184,15370,2007,False
185,19930,2008,False
186,15350,2007,False
187,19810,2002,False
188,3540,2008,False
189,22000,2008,False
190,2820,2008,False
191,1230,2008,False
192,18300,2008,False
193,20200,2008,False
194,12200,2008,False
195,19900,2008,False
196,11240,2008,False
197,256522,2009,False
198,275144,2009,False
199,256521,2009,False
200,222569,2009,False
201,256535,2009,False
202,256611,2009,False
203,256576,2009,False
204,9480,2009,False
205,17470,2008,False
206,12770,2008,False
207,17410,2009,False
208,18500,2008,False
209,16450,2009,False
210,15400,2008,False
211,18600,2007,False
212,11340,2009,False
213,25830,2005,False
214,23460,2009,False
215,10600,2009,False
216,21010,2009,False
217,22180,2007,False
218,13210,2007,False
219,12640,2009,False
220,21600,2009,False
221,27020,2008,False
222,24740,2009,False
223,90047,2009,False
224,26000,2009,False
225,26006,2009,False
226,26005,2009,False
227,11330,2009,False
228,27800,2009,False
229,9850,2009,False
230,3600,2009,False
231,29580,2006,False
232,29540,2005,False
233,29560,2006,False
234,29570,2008,False
235,23700,2009,False
236,16060,2009,False
237,1930,2009,False
238,18470,2009,False
239,7510,2009,False
240,22200,2009,False
241,26007,2009,False
242,25900,2008,False
243,16200,2009,False
244,7840,2009,False
245,8890,2005,False
246,8880,2002,False
247,34500,2009,False
248,1280,2009,False
249,10150,2009,False
251,12470,2004,False
252,22340,2006,False
253,22330,2007,False
254,22320,2002,False
255,900883,2009,False
256,12440,2007,False
257,32710,1999,False
258,32740,1998,False
259,12460,2008,False
260,21980,2009,False
261,31860,2007,False
262,31900,2006,False
263,31920,2008,False
264,31930,2007,False
265,35800,2008,False
266,12690,2009,False
267,31170,2009,False
268,21660,2009,False
269,6080,2007,False
270,6010,1992,False
271,6090,2003,False
272,6060,2005,False
273,32310,1989,False
274,32330,2008,False
275,32360,2009,False
276,35300,2008,False
277,35310,2009,False
278,31980,2009,False
279,31990,2009,False
280,10140,2006,False
281,10100,2006,False
282,10130,2007,False
283,10110,2006,False
284,1256,2009,False
285,10120,2008,False
286,33520,2009,False
287,3610,2009,False
288,21680,2008,False
289,21670,2009,False
290,21030,2009,False
291,36000,2009,False
292,32370,2003,False
293,29180,2009,False
294,38410,1998,False
295,38420,2001,False
296,38430,1999,False
297,38440,2000,False
298,35050,2009,False
299,31180,2009,False
300,37960,2009,False
301,38000,2009,False
302,37400,2009,False
303,13570,2005,False
304,11390,2009,False
305,34420,2009,False
306,43100,2009,False
307,33730,2009,False
308,35000,2009,False
309,39392,2009,False
310,39391,1999,False
311,37600,2009,False
312,24029,2009,False
313,32140,2009,False
314,31190,2009,False
315,32770,2009,False
316,208306,2009,False
317,37300,2009,False
318,208300,2009,False
319,40300,2009,False
320,35070,2009,False
321,10606,2009,False
322,40700,2009,False
323,24840,2007,False
324,24870,2009,False
325,41500,2009,False
326,24800,2009,False
327,901735,2009,False
328,42800,2009,False
329,39560,2009,False
330,39550,2009,False
331,40330,2009,False
332,40320,2009,False
333,31200,2009,False
334,3130,2009,False
335,41100,2009,False
336,39540,2009,False
337,34640,2005,False
338,34630,2003,False
339,42200,2009,False
340,41000,2009,False
341,40340,2009,False
342,17450,2009,False
343,37100,2009,False
344,37500,2009,False
345,42810,2009,False
346,10180,2009,False
347,32440,2009,False
348,11450,2007,False
349,12710,2008,False
350,24790,2007,False
351,29120,2008,False
352,24810,2009,False
353,41800,2009,False
354,45300,2009,False
355,41900,2005,False
356,35420,2009,False
357,32430,2009,False
358,25806,2009,False
359,22370,2009,False
360,41802,2009,False
361,38080,2007,False
362,38090,2008,False
363,38100,2009,False
364,38070,2009,False
365,38210,2009,False
366,45700,2008,False
367,46410,2010,False
368,38110,2009,False
369,17570,2010,False
370,38130,2008,False
371,38160,2010,False
372,38150,2009,False
373,38120,2007,False
374,38140,2009,False
375,36300,2010,False
376,36310,2010,False
377,36320,2010,False
378,37030,2010,False
379,32450,2010,False
380,34180,2010,False
381,44100,2010,False
382,25960,2010,False
383,46250,2010,False
384,38180,2007,False
385,10695,2010,False
386,41050,2001,False
387,24055,2010,False
388,48700,2010,False
389,39900,2010,False
390,49900,2010,False
391,42120,2010,False
392,12220,2010,False
393,45730,2010,False
394,45400,2010,False
