,id,año,genres
0,761140,2018,Action
0,761140,2018,Casual
0,761140,2018,Indie
0,761140,2018,Simulation
0,761140,2018,Strategy
1,643980,2018,Free to Play
1,643980,2018,Indie
1,643980,2018,RPG
1,643980,2018,Strategy
2,670290,2017,Casual
2,670290,2017,Free to Play
2,670290,2017,Indie
2,670290,2017,Simulation
2,670290,2017,Sports
3,767400,2017,Action
3,767400,2017,Adventure
3,767400,2017,Casual
5,772540,2018,Action
5,772540,2018,Adventure
5,772540,2018,Simulation
6,774276,2018,Free to Play
6,774276,2018,Indie
6,774276,2018,Simulation
6,774276,2018,Sports
7,774277,2018,Free to Play
7,774277,2018,Indie
7,774277,2018,Simulation
7,774277,2018,Sports
8,774278,2018,Free to Play
8,774278,2018,Indie
8,774278,2018,Simulation
8,774278,2018,Sports
9,768800,2018,Casual
9,768800,2018,Indie
9,768800,2018,Racing
9,768800,2018,Simulation
12,770380,2018,Action
12,770380,2018,Adventure
12,770380,2018,Casual
12,770380,2018,Indie
12,770380,2018,RPG
13,768880,2018,Casual
13,768880,2018,Indie
14,765320,2018,Casual
14,765320,2018,Indie
14,765320,2018,Simulation
15,773650,2018,Adventure
15,773650,2018,Casual
15,773650,2018,Indie
15,773650,2018,Simulation
15,773650,2018,Strategy
16,774271,2018,Free to Play
16,774271,2018,Indie
16,774271,2018,Simulation
16,774271,2018,Sports
17,773690,2018,Adventure
17,773690,2018,Casual
17,773690,2018,Indie
17,773690,2018,Simulation
17,773690,2018,Strategy
18,774279,2018,Free to Play
18,774279,2018,Indie
18,774279,2018,Simulation
18,774279,2018,Sports
21,768060,2018,Action
21,768060,2018,Adventure
21,768060,2018,Indie
23,775880,2017,Racing
23,775880,2017,Simulation
23,775880,2017,Sports
24,775881,2017,Racing
24,775881,2017,Simulation
24,775881,2017,Sports
25,653960,2018,Action
25,653960,2018,Indie
27,282010,1997,Action
27,282010,1997,Indie
27,282010,1997,Racing
28,70,1998,Action
29,752360,2016,Action
29,752360,2016,Indie
29,752360,2016,RPG
31,520680,2018,Casual
31,520680,2018,Indie
31,520680,2018,Strategy
32,690410,2018,Action
33,766850,2018,Casual
33,766850,2018,Indie
33,766850,2018,Simulation
34,413120,2018,Action
34,413120,2018,Casual
34,413120,2018,Indie
34,413120,2018,Massively Multiplayer
34,413120,2018,Simulation
34,413120,2018,Sports
34,413120,2018,Strategy
35,773120,2017,Adventure
35,773120,2017,Casual
35,773120,2017,Indie
37,754360,2018,Action
37,754360,2018,Adventure
37,754360,2018,RPG
38,716110,2018,Adventure
38,716110,2018,Casual
38,716110,2018,Indie
38,716110,2018,RPG
39,1640,2006,Strategy
40,1630,2006,Strategy
41,2400,2006,Action
41,2400,2006,Indie
41,2400,2006,RPG
46,759920,2017,Action
46,759920,2017,Indie
46,759920,2017,Strategy
46,759920,2017,Early Access
47,659780,2018,Action
47,659780,2018,Adventure
47,659780,2018,Indie
47,659780,2018,RPG
47,659780,2018,Strategy
48,603280,2017,Action
48,603280,2017,Adventure
48,603280,2017,Indie
48,603280,2017,RPG
49,753110,2017,Casual
49,753110,2017,Strategy
49,753110,2017,Early Access
50,753100,2017,Action
50,753100,2017,Indie
52,764280,2017,Action
52,764280,2017,Adventure
52,764280,2017,Casual
54,758550,2017,Adventure
54,758550,2017,Casual
54,758550,2017,Free to Play
54,758550,2017,Indie
55,3800,2005,Action
56,1520,2006,Indie
56,1520,2006,Strategy
57,2420,2006,Action
57,2420,2006,Indie
57,2420,2006,RPG
58,4000,2006,Indie
58,4000,2006,Simulation
59,4230,2006,Racing
60,4900,2006,Casual
60,4900,2006,Indie
61,2520,2006,Casual
61,2520,2006,Indie
62,6200,2003,Strategy
63,6210,2006,Strategy
64,6300,2006,Adventure
64,6300,2006,RPG
65,2990,2006,Racing
66,6220,2005,Racing
67,6510,2007,Action
67,6510,2007,Adventure
68,3980,2006,Strategy
69,1700,2002,RPG
70,6310,2000,Action
70,6310,2000,Adventure
70,6310,2000,RPG
71,3990,2006,Strategy
72,7610,2003,Strategy
73,7600,2006,Strategy
75,7620,1998,Strategy
76,2540,2007,Casual
76,2540,2007,Indie
77,7650,1995,Strategy
78,8000,2007,Action
78,8000,2007,Adventure
79,6550,2006,Action
80,8200,2006,Action
80,8200,2006,Adventure
81,2290,1996,Action
82,2570,2007,Indie
82,2570,2007,RPG
83,8210,2006,Action
83,8210,2006,Adventure
84,2280,1995,Action
85,9160,1995,Action
86,2300,1994,Action
87,2270,1994,Action
88,9010,2001,Action
89,9040,1997,Action
90,9000,1993,Action
91,3810,2003,Action
92,9030,2007,Action
93,2310,2007,Action
94,3230,2007,Strategy
95,9310,2006,Strategy
96,7670,2007,Action
96,7670,2007,RPG
97,4570,2006,Strategy
98,4580,2006,Strategy
99,4760,2004,Strategy
100,4770,2006,Strategy
101,50970,2007,Casual
102,12170,1998,Action
103,12180,1999,Action
104,12130,2004,Action
105,12160,2003,Racing
106,12150,2003,Action
107,7000,2006,Action
107,7000,2006,Adventure
108,12140,2001,Action
109,17480,2008,Strategy
110,12500,2007,Casual
111,12310,2007,RPG
111,12310,2007,Casual
111,12310,2007,Adventure
112,12510,2007,Strategy
113,12530,2007,Action
113,12530,2007,Adventure
113,12530,2007,Strategy
114,12520,2007,Racing
115,8100,2008,Action
116,2780,2007,Action
117,9730,2006,Simulation
118,9710,2006,Action
119,9800,2007,Action
119,9800,2007,Adventure
120,9760,2006,Action
121,2700,2006,Simulation
