,id,ano,metascore,title
28,70,1998,96,Half-Life
39,1640,2006,84,Disciples II: Gallean's Return
40,1630,2006,80,Disciples II: Rise of the Elves
41,2400,2006,76,The Ship: Murder Party
55,3800,2005,70,Advent Rising
56,1520,2006,84,DEFCON
57,2420,2006,NA,The Ship: Single Player
58,4000,2006,NA,Garry's Mod
59,4230,2006,NA,RACE - The WTCC Game
60,4900,2006,NA,Zen of Sudoku
61,2520,2006,69,Gumboy - Crazy Adventures™
62,6200,2003,81,Ghost Master®
63,6210,2006,NA,Vegas: Make It Big™
64,6300,2006,75,Dreamfall: The Longest Journey
65,2990,2006,76,FlatOut 2™
66,6220,2005,72,FlatOut
67,6510,2007,66,Lost Planet™: Extreme Condition
68,3980,2006,67,CivCity: Rome
69,1700,2002,77,Arx Fatalis
70,6310,2000,91,The Longest Journey
71,3990,2006,84,Civilization IV®: Warlords
72,7610,2003,80,Railroad Tycoon 3
73,7600,2006,77,Sid Meier's Railroads!
75,7620,1998,89,Railroad Tycoon II Platinum
76,2540,2007,NA,RIP - Trilogy™
78,8000,2007,83,Tomb Raider: Anniversary
79,6550,2006,66,Devil May Cry® 3 Special Edition
82,2570,2007,61,Vigil: Blood Bitterness™
86,2300,1994,83,DOOM II
88,9010,2001,88,Return to Castle Wolfenstein
91,3810,2003,65,BloodRayne
93,2310,2007,94,QUAKE
94,3230,2007,57,Genesis Rising
96,7670,2007,96,BioShock™
97,4570,2006,86,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition"
98,4580,2006,87,"Warhammer® 40,000: Dawn of War® - Dark Crusade"
99,4760,2004,92,Rome: Total War™ - Collection
100,4770,2006,79,Rome: Total War™ - Alexander
104,12130,2004,75,Manhunt
105,12160,2003,81,Midnight Club 2
106,12150,2003,86,Max Payne 2: The Fall of Max Payne
107,7000,2006,82,Tomb Raider: Legend
108,12140,2001,89,Max Payne
109,17480,2008,82,Command &amp; Conquer: Red Alert 3
110,12500,2007,84,PuzzleQuest: Challenge of the Warlords
111,12310,2007,66,Culpa Innata
114,12520,2007,NA,18 Wheels of Steel: American Long Haul
115,8100,2008,58,Conflict: Denied Ops
116,2780,2007,74,ARMA: Combat Operations
117,9730,2006,67,Tycoon City: New York
118,9710,2006,66,Desperados 2: Cooper's Revenge
119,9800,2007,69,Death to Spies
120,9760,2006,74,Act of War: High Treason
121,2700,2006,81,RollerCoaster Tycoon® 3: Platinum
122,2710,2005,82,Act of War: Direct Action
123,13200,2003,75,Unreal 2: The Awakening
124,13250,1998,NA,Unreal Gold
125,13000,2008,57,Ninja Reflex: Steamworks Edition
126,13560,2003,91,Tom Clancy's Splinter Cell®
127,13520,2004,89,Far Cry®
128,13240,2000,92,Unreal Tournament: Game of the Year Edition
129,13540,2006,85,Tom Clancy's Rainbow Six® Vegas
130,15210,2005,90,Silent Hunter® III
141,15080,2007,58,Rayman Raving Rabbids™
142,15200,2007,79,Silent Hunter®: Wolves of the Pacific
143,15320,2006,86,IL-2 Sturmovik: 1946
144,15240,2008,NA,Silent Hunter®: Wolves of the Pacific U-Boat Missions
145,8310,2005,68,Bone: Out From Boneville
146,12600,2005,NA,Midnight Outlaw: 6 Hours to SunUp
147,8320,2006,76,Bone: The Great Cow Race
148,12590,2008,NA,Sprint Cars Road to Knoxville
149,12580,2008,NA,Dr. Daisy Pet Vet
150,12560,2007,NA,Ride! Carnival Tycoon
151,12570,2008,NA,Hot Dish
152,12540,2007,NA,Mahjongg Investigations: Under Suspicion
153,11050,2008,70,Dracula Origin
154,10520,2008,NA,Beijing 2008™ - The Official Video Game of the Olympic Games
155,11040,2008,71,Sherlock Holmes - Nemesis
156,19500,2008,NA,Eternity's Child
157,11260,2007,60,Pacific Storm Allies
158,19200,2008,NA,Tank Universal
159,12360,2008,79,FlatOut: Ultimate Carnage
160,15710,1998,NA,Oddworld: Abe's Exoddus®
161,15700,1997,NA,Oddworld: Abe's Oddysee®
162,8660,2008,83,GTR Evolution Expansion Pack for RACE 07
163,7770,2001,65,X-COM: Enforcer
164,7660,1997,NA,X-COM: Apocalypse
165,7760,1993,NA,X-COM: UFO Defense
166,20510,2008,75,S.T.A.L.K.E.R.: Clear Sky
167,17330,2008,84,Crysis Warhead®
168,17300,2007,91,Crysis
169,7730,1998,NA,X-COM: Interceptor
170,20900,2008,86,The Witcher: Enhanced Edition Director's Cut
171,1530,2008,76,Multiwinia
172,8690,2008,NA,STCC - The Game 1 - Expansion Pack for RACE 07
173,17120,2008,NA,Children of the Nile: Alexandria
174,16810,2008,83,Sid Meier's Civilization IV: Colonization
175,19830,2003,85,Tom Clancy's Rainbow Six® 3 Gold
176,21000,2008,80,LEGO Batman
177,4460,2008,NA,City Life 2008
178,17140,2008,65,Hinterland
179,15390,2008,79,Brothers in Arms: Hell's Highway™
180,21300,2008,NA,Gravitron 2
181,3050,2006,NA,Xpand Rally Xtreme
182,15380,2006,66,Heroes of Might &amp; Magic V: Hammers of Fate
183,19800,2005,84,Brothers in Arms: Earned in Blood™
184,15370,2007,70,Heroes of Might &amp; Magic V: Tribes of the East
185,19930,2008,66,The Settlers®: Rise Of An Empire Gold Edition
186,15350,2007,NA,Brain Spa
187,19810,2002,72,The Sum of All Fears
188,3540,2008,76,Peggle™ Nights
189,22000,2008,90,World of Goo
190,2820,2008,73,X3: Terran Conflict
192,18300,2008,NA,Spectraball
193,20200,2008,NA,Galactic Bowling
194,12200,2008,72,Bully: Scholarship Edition
195,19900,2008,85,Far Cry® 2: Fortune's Edition
196,11240,2008,NA,Space Trader: Merchant Marine
204,9480,2009,72,Saints Row 2
205,17470,2008,86,Dead Space
206,12770,2008,59,Rise of the Argonauts
207,17410,2009,81,Mirror's Edge™
208,18500,2008,81,Defense Grid: The Awakening
209,16450,2009,79,F.E.A.R. 2: Project Origin
210,15400,2008,NA,Harvest: Massive Encounter
212,11340,2009,64,Larva Mortus
213,25830,2005,77,Knights of Honor
214,23460,2009,73,Ceville
216,21010,2009,61,Watchmen: The End is Nigh
217,22180,2007,73,Penumbra Overture
218,13210,2007,83,Unreal Tournament 3 Black
219,12640,2009,75,Drakensang
220,21600,2009,NA,Age of Booty™
222,24740,2009,87,Burnout Paradise: The Ultimate Box
224,26000,2009,75,The Maw
230,3600,2009,NA,Escape Rosecliff Island
231,29580,2006,84,Guild Wars Nightfall®
232,29540,2005,89,Guild Wars® Game of the Year Edition
233,29560,2006,84,Guild Wars Factions®
235,23700,2009,NA,Puzzle Kingdoms
236,16060,2009,NA,Samantha Swift and the Golden Touch
237,1930,2009,65,Two Worlds Epic Edition
238,18470,2009,65,Helldorado
239,7510,2009,54,X-Blades
240,22200,2009,77,Zeno Clash
242,25900,2008,79,King's Bounty: The Legend
244,7840,2009,53,Death Track®: Resurrection
245,8890,2005,NA,Freedom Force vs. the Third Reich
246,8880,2002,90,Freedom Force
247,34500,2009,66,Light of Altair
249,10150,2009,79,Prototype™
251,12470,2004,75,Port Royale 2
252,22340,2006,76,Call of Cthulhu®: Dark Corners of the Earth
253,22330,2007,94,The Elder Scrolls IV: Oblivion® Game of the Year Edition
254,22320,2002,89,The Elder Scrolls III: Morrowind® Game of the Year Edition
255,900883,2009,94,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe
256,12440,2007,NA,Ankh 2: Heart of Osiris
259,12460,2008,NA,BC Kings
260,21980,2009,78,Call of Juarez®: Bound in Blood
261,31860,2007,79,Nancy Drew®: Legend of the Crystal Skull
262,31900,2006,68,Nancy Drew®: The Creature of Kapu Cave
263,31920,2008,69,Nancy Drew®: The Phantom of Venice
264,31930,2007,73,Nancy Drew®: The White Wolf of Icicle Creek
267,31170,2009,79,Tales of Monkey Island Complete Pack
268,21660,2009,91,Street Fighter® IV
269,6080,2007,70,Thrillville®: Off the Rails™
271,6090,2003,78,Armed and Dangerous®
272,6060,2005,78,"Star Wars: Battlefront 2 (Classic, 2005)"
274,32330,2008,78,LEGO® Indiana Jones™: The Original Adventures
275,32360,2009,86,The Secret of Monkey Island: Special Edition
277,35310,2009,51,Clutch
278,31980,2009,78,Nancy Drew®: Ransom of the Seven Ships
280,10140,2006,NA,3D Ultra™ Minigolf Adventures
