,id,ano,sentiment
1,643980,2018,Mostly Positive
2,670290,2017,Mostly Positive
5,772540,2018,Mixed
15,773650,2018,1 user reviews
21,768060,2018,3 user reviews
27,282010,1997,Very Positive
28,70,1998,Overwhelmingly Positive
33,766850,2018,Mostly Positive
38,716110,2018,Mixed
39,1640,2006,Mostly Positive
40,1630,2006,Very Positive
41,2400,2006,Very Positive
48,603280,2017,6 user reviews
49,753110,2017,Mixed
50,753100,2017,1 user reviews
52,764280,2017,5 user reviews
54,758550,2017,2 user reviews
55,3800,2005,Mostly Positive
56,1520,2006,Very Positive
57,2420,2006,Mixed
58,4000,2006,Overwhelmingly Positive
59,4230,2006,Mostly Positive
60,4900,2006,Very Positive
61,2520,2006,Mixed
62,6200,2003,Very Positive
63,6210,2006,Mostly Positive
64,6300,2006,Very Positive
65,2990,2006,Very Positive
66,6220,2005,Very Positive
67,6510,2007,Mostly Positive
68,3980,2006,Mostly Positive
69,1700,2002,Very Positive
70,6310,2000,Very Positive
71,3990,2006,Very Positive
72,7610,2003,Mostly Positive
73,7600,2006,Mixed
75,7620,1998,Very Positive
76,2540,2007,Mixed
77,7650,1995,Very Positive
78,8000,2007,Very Positive
79,6550,2006,Mixed
80,8200,2006,Very Positive
81,2290,1996,Very Positive
82,2570,2007,Very Negative
83,8210,2006,Positive
84,2280,1995,Very Positive
85,9160,1995,Very Positive
86,2300,1994,Very Positive
87,2270,1994,Very Positive
88,9010,2001,Very Positive
89,9040,1997,Very Positive
90,9000,1993,Very Positive
91,3810,2003,Mostly Positive
92,9030,2007,Very Positive
93,2310,2007,Overwhelmingly Positive
94,3230,2007,Mostly Negative
95,9310,2006,Very Positive
96,7670,2007,Very Positive
97,4570,2006,Overwhelmingly Positive
98,4580,2006,Overwhelmingly Positive
99,4760,2004,Very Positive
100,4770,2006,Mostly Positive
101,50970,2007,Mostly Positive
102,12170,1998,Very Positive
103,12180,1999,Very Positive
104,12130,2004,Mixed
105,12160,2003,Very Positive
106,12150,2003,Very Positive
107,7000,2006,Very Positive
108,12140,2001,Very Positive
109,17480,2008,Very Positive
110,12500,2007,Very Positive
111,12310,2007,Very Positive
112,12510,2007,Very Negative
113,12530,2007,Mostly Positive
114,12520,2007,Mostly Positive
115,8100,2008,Mixed
116,2780,2007,Mixed
117,9730,2006,Mostly Negative
118,9710,2006,Mixed
119,9800,2007,Mostly Positive
120,9760,2006,Very Positive
121,2700,2006,Very Positive
122,2710,2005,Very Positive
123,13200,2003,Mostly Positive
124,13250,1998,Overwhelmingly Positive
125,13000,2008,Positive
126,13560,2003,Very Positive
127,13520,2004,Very Positive
128,13240,2000,Overwhelmingly Positive
129,13540,2006,Mostly Positive
130,15210,2005,Very Positive
131,16180,2008,Positive
132,3520,2008,9 user reviews
133,15970,2008,Mixed
134,15950,2008,Mostly Positive
135,15960,2008,Mostly Positive
136,15900,2008,Positive
137,15910,2005,8 user reviews
138,15930,2007,Positive
139,15160,2007,Mixed
140,15920,2005,Mixed
141,15080,2007,Mostly Positive
142,15200,2007,Mixed
143,15320,2006,Very Positive
144,15240,2008,Very Positive
145,8310,2005,Mixed
146,12600,2005,Negative
147,8320,2006,Mixed
148,12590,2008,Mixed
149,12580,2008,3 user reviews
150,12560,2007,Mixed
151,12570,2008,4 user reviews
152,12540,2007,7 user reviews
153,11050,2008,Mixed
155,11040,2008,Mostly Positive
156,19500,2008,Negative
157,11260,2007,Mixed
158,19200,2008,Mixed
159,12360,2008,Very Positive
160,15710,1998,Very Positive
161,15700,1997,Very Positive
162,8660,2008,Positive
163,7770,2001,Mixed
164,7660,1997,Very Positive
165,7760,1993,Overwhelmingly Positive
166,20510,2008,Very Positive
167,17330,2008,Very Positive
168,17300,2007,Very Positive
169,7730,1998,Mixed
170,20900,2008,Very Positive
171,1530,2008,Very Positive
172,8690,2008,Positive
173,17120,2008,Positive
174,16810,2008,Mostly Positive
175,19830,2003,Very Positive
176,21000,2008,Very Positive
177,4460,2008,Mixed
178,17140,2008,Mostly Positive
179,15390,2008,Very Positive
180,21300,2008,Mixed
181,3050,2006,Mixed
182,15380,2006,Mostly Positive
183,19800,2005,Very Positive
184,15370,2007,Very Positive
185,19930,2008,Mostly Positive
186,15350,2007,4 user reviews
187,19810,2002,Positive
188,3540,2008,Very Positive
189,22000,2008,Very Positive
190,2820,2008,Very Positive
191,1230,2008,Very Positive
192,18300,2008,Mostly Positive
193,20200,2008,Mixed
194,12200,2008,Very Positive
195,19900,2008,Mostly Positive
196,11240,2008,Mixed
197,256522,2009,2 user reviews
198,275144,2009,3 user reviews
201,256535,2009,1 user reviews
204,9480,2009,Mostly Positive
205,17470,2008,Very Positive
206,12770,2008,Mostly Positive
207,17410,2009,Very Positive
208,18500,2008,Overwhelmingly Positive
209,16450,2009,Very Positive
210,15400,2008,Mostly Positive
211,18600,2007,Mostly Positive
212,11340,2009,Mostly Positive
213,25830,2005,Very Positive
214,23460,2009,Very Positive
215,10600,2009,Positive
216,21010,2009,Mixed
217,22180,2007,Very Positive
218,13210,2007,Very Positive
